date	count	package
2023-09-16	9	ottrpal
2023-09-17	5	ottrpal
2023-09-18	7	ottrpal
2023-09-19	12	ottrpal
2023-09-20	10	ottrpal
2023-09-21	11	ottrpal
2023-09-22	40	ottrpal
2023-09-23	51	ottrpal
2023-09-24	6	ottrpal
2023-09-25	14	ottrpal
2023-09-26	39	ottrpal
2023-09-27	21	ottrpal
2023-09-28	12	ottrpal
2023-09-29	39	ottrpal
2023-09-30	5	ottrpal
2023-10-01	10	ottrpal
2023-10-02	42	ottrpal
2023-10-03	3	ottrpal
2023-10-04	7	ottrpal
2023-10-05	42	ottrpal
2023-10-06	13	ottrpal
2023-10-07	5	ottrpal
2023-10-08	37	ottrpal
2023-10-09	5	ottrpal
2023-10-10	7	ottrpal
2023-10-11	6	ottrpal
2023-10-12	43	ottrpal
2023-10-13	3	ottrpal
2023-10-14	11	ottrpal
2023-10-15	35	ottrpal
2023-10-16	9	ottrpal
2023-10-17	6	ottrpal
2023-10-18	40	ottrpal
2023-10-19	11	ottrpal
2023-10-20	5	ottrpal
2023-10-21	5	ottrpal
2023-10-22	40	ottrpal
2023-10-23	9	ottrpal
2023-10-24	3	ottrpal
2023-10-25	10	ottrpal
2023-10-26	47	ottrpal
2023-10-27	17	ottrpal
2023-10-28	8	ottrpal
2023-10-29	2	ottrpal
2023-10-30	37	ottrpal
2023-10-31	12	ottrpal
2023-11-01	19	ottrpal
2023-11-02	12	ottrpal
2023-11-03	38	ottrpal
2023-11-04	35	ottrpal
2023-11-05	3	ottrpal
2023-11-06	10	ottrpal
2023-11-07	10	ottrpal
2023-11-08	17	ottrpal
2023-11-09	41	ottrpal
2023-11-10	3	ottrpal
2023-11-11	3	ottrpal
2023-11-12	6	ottrpal
2023-11-13	8	ottrpal
2023-11-14	7	ottrpal
2023-11-15	19	ottrpal
2023-11-16	30	ottrpal
2023-11-17	22	ottrpal
2023-11-18	4	ottrpal
2023-11-19	6	ottrpal
2023-11-20	8	ottrpal
2023-11-21	4	ottrpal
2023-11-22	8	ottrpal
2023-11-23	4	ottrpal
2023-11-24	9	ottrpal
2023-11-25	11	ottrpal
2023-11-26	27	ottrpal
2023-11-27	10	ottrpal
2023-11-28	8	ottrpal
2023-11-29	13	ottrpal
2023-11-30	14	ottrpal
2023-12-01	23	ottrpal
2023-12-02	27	ottrpal
2023-12-03	21	ottrpal
2023-12-04	5	ottrpal
2023-12-05	7	ottrpal
2023-12-06	51	ottrpal
2023-12-07	41	ottrpal
2023-12-08	8	ottrpal
2023-12-09	6	ottrpal
2023-12-10	38	ottrpal
2023-12-11	5	ottrpal
2023-12-12	6	ottrpal
2023-12-13	7	ottrpal
2023-12-14	42	ottrpal
2023-12-15	13	ottrpal
2023-12-16	5	ottrpal
2023-12-17	4	ottrpal
2023-12-18	37	ottrpal
2023-12-19	3	ottrpal
2023-12-20	12	ottrpal
2023-12-21	44	ottrpal
2023-12-22	8	ottrpal
2023-12-23	3	ottrpal
2023-12-24	43	ottrpal
2023-12-25	13	ottrpal
2023-12-26	7	ottrpal
2023-12-27	43	ottrpal
2023-12-28	37	ottrpal
2023-12-29	2	ottrpal
2023-12-30	6	ottrpal
2023-12-31	37	ottrpal
2024-01-01	6	ottrpal
2024-01-02	7	ottrpal
2024-01-03	41	ottrpal
2024-01-04	3	ottrpal
2024-01-05	16	ottrpal
2024-01-06	37	ottrpal
2024-01-07	11	ottrpal
2024-01-08	46	ottrpal
2024-01-09	10	ottrpal
2024-01-10	29	ottrpal
2024-01-11	46	ottrpal
2024-01-12	39	ottrpal
2024-01-13	6	ottrpal
2024-01-14	37	ottrpal
2024-01-15	14	ottrpal
2024-01-16	10	ottrpal
2024-01-17	49	ottrpal
